date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:08	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e66d2.696f53ca.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e66d2.696f53ca.html	(from http://120.26.82.151:8082/)
13:57:08	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e8fb1.25324da7.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e8fb1.25324da7.html	(from http://120.26.82.151:8082/)
13:57:09	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e9ac6.505d9fc7.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e9ac6.505d9fc7.html	(from http://120.26.82.151:8082/)
13:57:09	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d208a59.034328cf.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d208a59.034328cf.html	(from http://120.26.82.151:8082/)
13:57:09	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d208c79.258282b0.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d208c79.258282b0.html	(from http://120.26.82.151:8082/)
13:57:09	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d20f3a5.c850fcce.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d20f3a5.c850fcce.html	(from http://120.26.82.151:8082/)
13:57:10	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d20f706.d6b695c1.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d20f706.d6b695c1.html	(from http://120.26.82.151:8082/)
13:57:10	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d2103fa.48a81b62.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d2103fa.48a81b62.html	(from http://120.26.82.151:8082/)
13:57:10	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d2105dc.e3da5f39.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d2105dc.e3da5f39.html	(from http://120.26.82.151:8082/)
13:57:10	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d212c15.3e796c00.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d212c15.3e796c00.html	(from http://120.26.82.151:8082/)
